d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Eduardo Okuno,Local Guide,4 reseñas,Hace 3 meses,Nueva,"pésima empresa, se queda 10 días con su dinero y luego dice que no pueden entregar la mercancía.…",Me gusta,
Antônio Marcos Costas,Local Guide,9 reseñas,Hace 5 meses,Nueva,los colgantes eran excelentes. me encantó fue hermoso. compraré más. te lo recomiendo mucho. lástima que no puedo publicar fotos aquí para que las veas. me encantó fue show…,,Me gusta
Gabriela Figueirôa,Local Guide,43 reseñas,Hace 4 meses,Nueva,si pudiera no daría ninguna estrella. hice una compra y me enviaron el producto equivocado. no volveré a comprar cuando sepa que olist lo vende y entrega…,Me gusta,
Adillson Cdsnts,Local Guide,4 reseñas,Hace un mes,Nueva,"venden para darle dolor de cabeza a la gente porque no entregan, segunda insistencia en comprar no habrá tercera vez.…",Me gusta,
Celso Ferrari,Local Guide,4 reseñas,Hace 4 meses,Nueva,"la empresa no facilita un teléfono de contacto, lo que dificulta la reclamación de retrasos en las entregas. no es la primera vez que tengo un problema con esta empresa.…",,Me gusta
Eduarda Ferandes,Local Guide,3 reseñas,Hace 2 meses,Nueva,"hice muy mal la compra
¡entregado y aún no llegado! quiero un reembolso de basura…",Me gusta,
vitor hugo del pino,Local Guide,· 39 reseñas,Hace 6 meses,Nueva,"horrible.
devolví el producto defectuoso encontrado por su departamento técnico. en abril, dijeron que devolverían el monto pagado.…",Me gusta,
paulo cesar nascimento,Local Guide,· 38 reseñas,Hace 2 meses,Nueva,"pésima empresa, sin soporte al socio comercial, valores de flete indecisos de lo acordado, sin un solo teléfono para soporte. ¡corre desde esta plataforma!…",Me gusta,
Nataly Rodrigues,Local Guide,· 109 reseñas,Hace 4 meses,Nueva,"compré un perfume y me llegó bien, producto original y en tiempo, muy bien embalado.…",Me gusta,
Camila Lima,Local Guide,1 reseña,Hace 2 meses,Nueva,compré una estufa en inter 14/10/22 no me ha llegado hasta hoy nadie me contesta quiero mi estufa por favor…,Me gusta,
Elisabete de Almeida Porto,Local Guide,40 reseñas,Hace 8 meses,Nueva,"entrega a tiempo, bien embalado, sin fugas. el producto ya lo conocía. ¡sin comentarios! ¡¡¡asombroso!!! recomiendo la tienda y el producto.…",Me gusta,
TL,Local Guide,11 reseñas,Hace 5 meses,Nueva,"hice una compra y lograron entregar el producto equivocado dos veces, parece a propósito que el cliente desistiera de cambiar.…",Me gusta,
Gi Zavorski,Local Guide,5 reseñas,Hace 8 meses,Nueva,"maravilloso producto, fácil de aplicar, seca rápido. fue mi último intento antes de arrancar el porcelanato, es muy liso, así que apliqué el producto, es genial, no tuve que gastar en cambiar el porcelanato ni en mano…",Me gusta,
Fabiano Santos,Local Guide,10 reseñas,Hace 7 meses,Nueva,"mi experiencia ha sido mala. compre mi tarjeta micro sd para usar en mi gopro la cual tardo en llegar y cuando llego y fui a probarla con mi tarjeta de memoria la camara dio un aviso de que la tarjeta estaba lenta,…",Me gusta,
Renato Guimarães,Local Guide,9 reseñas,Hace 7 meses,Nueva,"compras un producto para regalo con promesa de envío exprés y el día de la recepción no llega nada. luego, llamas al servicio de atención al cliente y te informan que lo revisarán. para su sorpresa y frustración,…",Me gusta,
Antonio Cezar Marangoni,Local Guide,3 reseñas,Hace 3 meses,Nueva,"hice la misma compra dos veces.
y las 2 compras llegaron en el orden equivocado.…",Me gusta,
Mariana Pezzi,Local Guide,· 9 reseñas,Hace 7 meses,Nueva,"compré un producto a través de americanas y no lo recibí.
me puse en contacto, porque el estado del producto era como entregado, y nunca…",Me gusta,
Diana Pontes,Local Guide,1 reseña,Hace 9 meses,Nueva,"maravilloso servicio, siempre manteniéndonos informados durante todo el proceso. muy buena calidad del producto y entrega rápida, llegó 6 días antes de lo acordado. ¡súper recomendado!…",Me gusta,
José Luiz Lemos,Local Guide,1 reseña,Hace 7 meses,Nueva,"compré un teléfono panasonic y vino otro, diferente al que había comprado. compra el 07/04/22, devolución el 14/04/22, a través de la guía de devolución de correo y solicité inmediatamente la cancelación de la compra.…",Me gusta,
Higor Godoy Venâncio,Local Guide,3 reseñas,Hace 3 meses,Nueva,¡la peor relación con el cliente! ¡horrible! no compres nada de aquí.…,Me gusta,
Edmar Souza,Local Guide,17 reseñas,Hace un año,Nueva,"tienda honesta se la recomiendo a todos, tuve un pequeño problema de logística y lo resolvieron rápido, fueron muy atentos, se ganaron mi confianza, volveré a comprar, envían factura electrónica todo bien en la parte…",Me gusta,
Wagner Pereira Melo,Local Guide,1 reseña,Hace 7 meses,Nueva,"ya hice varias compre algunas faltantes
algunos productos otros tienen malos resultados y diferentes vendedores que no me entregaron mi pedido, en este caso me va genial porque mi pedido llego sin…",,Me gusta
Paloma Gerber Alba,Local Guide,· 50 reseñas,Hace 6 meses,Nueva,"nadie te soluciona el problema, el correo electrónico no funciona, ni un ser humano te responde, solo una máquina. mala experiencia.
en la misma semana me enviaron un producto diferente al que se indica en la foto…",Me gusta,
paulo saraiva,Local Guide,· 62 reseñas,Hace 6 meses,Nueva,"la experiencia está siendo pésima, no hay un número de teléfono que pueda hablar con un asistente, la logística horrible me informó que el repartidor vino a mi dirección y no encontró a nadie cuando estaba en casa, ni…",,Me gusta
Andrea Reis,Local Guide,4 reseñas,Hace 6 meses,Nueva,"hice una compra en mercado libre y me debería llegar hoy, pedido 2000003806970682, pero fui a checar y aún no han publicado. y en la web solo se puede hablar con un asistente virtual, que no soluciona nada!!!! violan…",,Me gusta
Elisângela Moreira,Local Guide,1 reseña,Hace 6 meses,Nueva,"mi experiencia con ellos fue pésima, retraso en la entrega.
entregado producto incorrecto, devolví el producto y no tenía el producto…",,Me gusta
Alexandra Alexandre,Local Guide,2 reseñas,Hace un mes,Nueva,empresa de mala calidad hasta el dia de hoy no soluciona mi problema no se la recomiendo a nadie!…,,Me gusta
Rodrigo Paglioni,Local Guide,4 reseñas,Hace 7 meses,Nueva,hice una compra en olist a través de la plataforma de mercado libre y me enviaron mi producto pero no lo que me vendieron en el anuncio. compre una caseta para perro numero 2 con medidas 60x40x40 y me enviaron una con…,Me gusta,
Ernando Pansera,Local Guide,· 14 reseñas,Hace 8 meses,Nueva,"producto en perfecto estado, súper bien envuelto, me informaron constantemente de la ubicación del artículo durante el transporte (a pesar de que me enviaron el localizador para el seguimiento por correos) y llegó 3…",,Me gusta
Adnilson Zanaqui,Local Guide,1 reseña,Hace 6 meses,Nueva,hola buenos dias me gusto mi compra estaba programada para llegar el dia 8 de este mes y me llego el dia 29 del mes que paso gracias equipo maravilloso…,,Me gusta
marilei coutinho,Local Guide,1 reseña,Hace 9 meses,Nueva,excelente producto vale mucho la pena me gusto muy bien empacado el producto llego en perfectas condiciones llego antes del plazo super rapido la nota de servicio 10 vale mucho la pena…,,Me gusta
Philipe R. Oliveira,Local Guide,6 reseñas,Hace 6 meses,Nueva,"solo compré un artículo, pero fue muy útil y la entrega fue rápida. yo tambien agradezco tu atencion…",,Me gusta
Adriana Sicchieri,Local Guide,· 12 reseñas,Hace 9 meses,Nueva,"me atendieron muy bien... recibí el producto muy bien embalado, producto de calidad... lo recibí antes de la fecha límite. estoy contento con la compra y el servicio... ¡se lo recomiendo a todo el mundo!…",,Me gusta
Wand Rocha,Local Guide,· 29 reseñas,Hace 6 meses,Nueva,"excelente, el producto fue entregado a tiempo, lo recomiendo! ¡pero la compañía que lo entregó es terrible y con eso el producto vino con un descanso!…",,Me gusta
Leonard Jorge,Local Guide,7 reseñas,Hace 6 meses,Nueva,"hice una compra por mercado libre a través de olist y me cambiaron la fecha sin comunicarme y para muchos días después. olist no sigue la legislación para el uso del 0800 del saco, siendo solo a través de robots sin…",,Me gusta
Maria da Conceição Souza,Local Guide,2 reseñas,Hace 6 meses,Nueva,"excelente.
lo compre en enero para regalarlo a mi hijo para la graduación, le encantó, no se lo quita del cuerpo por nada y hasta ahora en muy buen estado!…",,Me gusta
Silas Santos,Local Guide,1 reseña,Hace 9 meses,Nueva,muy satisfecho bien y muy buen producto tambien el servicio la entrega llego antes de la fecha limite llego 7 dias antes de la fecha limite…,,Me gusta
Brunasantos Santos,Local Guide,1 reseña,Hace 7 meses,Nueva,"me gusto mucho el producto, mas bonito de lo que esperaba, llego todo bien ya tiempo, recomiendo el producto y la tienda, muy bien.…",,Me gusta
vinicius netto,Local Guide,3 reseñas,Hace 6 meses,Nueva,"el producto es bueno y fiel a lo anunciado. solo llegó un día más tarde de lo acordado, pero creo que fue culpa del transportista.…",,Me gusta
ANDRE souza,Local Guide,10 reseñas,Hace un año,Nueva,¡perfecto! ¡muy pensativo! ¡profesionales en atención al cliente! ya les he comprado antes y los recomiendo.…,Me gusta,
Sidney Forner,Local Guide,1 reseña,Hace 9 meses,Nueva,"gran servicio, respondieron mis preguntas a la brevedad, el producto llegó a tiempo y vino bien empacado, lo recomiendo mucho �…",Me gusta,
Janaina Alves,Local Guide,1 reseña,Hace 5 meses,Nueva,"estoy satisfecho con mi producto, por el servicio que siempre estuvieron en todas mis consultas.…",,Me gusta
Adelita Santos,Local Guide,4 reseñas,Hace 6 meses,Nueva,"ustedes son muy eficientes, pero el repartidor ni toca la bocina ni aplaude, pero me encantó 😍 mi producto llegó bien..…",,Me gusta
Charles Fynner,Local Guide,1 reseña,Hace un año,Nueva,"¡el pedido llegó antes de lo previsto! todo llegó bien. contento, porque llegó en el momento justo... vlw.. próximamente más pedidos…",,Me gusta
Sueli Sobral,Local Guide,1 reseña,Hace 5 meses,Nueva,"un gran producto, llego antes de lo previsto, el vendedor brinda un gran servicio, recomiendo ampliamente a la empresa olist
⭐⭐⭐⭐⭐…",,Me gusta
Paulo Renzi,Local Guide,4 reseñas,Hace 7 meses,Nueva,"compré un trapeador en los socios de ventas casa bahia y no lo recibí hasta el día de hoy, lo compré el 16/05/22 y el estado es como entregado, sin embargo, hasta el día de hoy no lo he recibido. ¿tendré que emprender…",Me gusta,
Dj Dex,Local Guide,2 reseñas,Hace 9 meses,Nueva,"compré de esta compañía a través del mercado libre y tuve un servicio sin igual. es muy fácil estar bien atendido cuando todo va bien, pero cuando sucede algo inesperado, vemos quién realmente se destaca.…",Me gusta,
Lilian Cunha,Local Guide,6 reseñas,Hace un año,Nueva,"producto recibido antes de la fecha límite, excelente material, pies firmes y hermosos. superó mis expectativas. ¡¡¡me gustó!!!…",Me gusta,
Marile Salete Schneider Peixoto,Local Guide,· 121 reseñas,Hace 6 meses,Nueva,"gran servicio, entrega mucho antes de tiempo, producto como se anuncia.…",,Me gusta
Rafael Ygo Silva,Local Guide,5 reseñas,Hace 9 meses,Nueva,"bueno, el producto llegó antes de la fecha límite dada, pero la fecha límite dada fue de 1 mes, y las compras en ml generalmente demoran entre 7 y 15 días, por lo que creo que debería dejar más claro la fecha límite…",Me gusta,
Will Ramos,Local Guide,1 reseña,Hace 4 meses,Nueva,"si eres vendedor y necesitas agilidad, practicidad, transparencia y flexibilidad para potenciar tu negocio online... ¡huye de olist!…",,Me gusta
Rafael da Silva Dias,Local Guide,1 reseña,Hace 7 meses,Nueva,"¡producto excelente!

llegó mucho antes de la fecha límite... incluso la fecha límite es de un mes. el…",,Me gusta
Renato Zeni,Local Guide,3 reseñas,Hace 6 meses,Nueva,"compré un cepillo de dientes eléctrico en el que el anuncio mostraba hasta una foto y me enviaron un cepillo de dientes normal, no compren en esta tienda!!!!!!…",,Me gusta
rogerio lima,Local Guide,2 reseñas,Hace 4 meses,Nueva,"imposible contactar, todo es 100% virtual online y cuando tienes un problema nunca se soluciona, no hay canal de atención……",Me gusta,
Roberto Santos,Local Guide,1 reseña,Hace 4 meses,Nueva,"me atendieron muy bien y los productos son de buena calidad, lo recomiendo.…",,Me gusta
Tiago Bastos,Local Guide,· 30 reseñas,Hace 6 meses,Nueva,"¡horrible! tarifas abusivas. términos de servicio unilaterales que no se transmiten al cliente en el momento de la venta. pésimo servicio al cliente. empresa con alma antigua, que esconde ventajas en los contratos. de…",Me gusta,
Caio Lima de Oliveira,Local Guide,7 reseñas,Hace 5 meses,Nueva,no entregan a tiempo y simplemente no existe un canal de comunicación eficiente para transmitir el estado de la entrega.…,Me gusta,
giselle cristina,Local Guide,6 reseñas,Hace 4 meses,Nueva,"no compre cuando el socio de cualquier tienda sea olist, no le entreguen la mercadería y no haya devolución de su paradero.…",,Me gusta
ZeZo Ribeiro,Local Guide,3 reseñas,Hace un mes,Nueva,"terrible, no puedo contactar y no llega el producto!

(original)…",,Me gusta
FREE 2K,Local Guide,6 reseñas,Hace 5 meses,Nueva,me gustó mucho el producto de buena calidad y muy bien embalado. mejor tienda…,,Me gusta
Giovane Milane Marquito,Local Guide,1 reseña,Hace 10 meses,Nueva,"estupendo, muy atento, producto tal y como se anuncia y entrega a tiempo.recomiendo…",,Me gusta
Antonio Marco e Jamilton cotta benevides alves,Local Guide,1 reseña,Hace 8 meses,Nueva,"siempre compré por internet y siempre me entregaron mis compras a tiempo, pero mi primera compra con entrega a través de la olist fue terrible, la información de seguimiento no existe, completamente confusa, es inútil…",Me gusta,
Douglas Machado,Local Guide,5 reseñas,Hace 9 meses,Nueva,"la peor experiencia que he tenido en mercado libre!

compré un medicamento veterinario y me dieron 10 días para entregarlo.…",Me gusta,
maria de lourdes santos,Local Guide,· 15 reseñas,Hace 11 meses,Nueva,excelentes productos de gran calidad vendedor nota mil recomiendo la mercancia llego antes del tiempo programado me encanto puedes comprarlo no te arrepentiras gracias ☺️ ☺️…,Me gusta,
